*** 令和８年度 設問別得点率及び正答率 ***,,,,,
問題区分＝本試験,人数＝438156,平均正答率＝0.6019,,,
科目＝国語,総平均点＝116.37,,,,
大問,解答番号,平均点,配点,得点率,正答率
4,23,1.346,3,0.4486,0.4486
4,24,2.068,3,0.6893,0.6893
4,25,1.711,3,0.5702,0.5702
4,26,2.006,3,0.6686,0.6686
4,27,0.414,3,0.138,0.138
5,合計,11.525,18,0.6403,0.6516
5,28,2.192,3,0.7305,0.7305
5,29,2.574,4,0.6434,0.6434
5,30,1.87,4,0.4676,0.4676
5,31,2.329,3,0.7764,0.7764
5,32,2.56,4,0.64,0.64
問題区分＝本試験,人数＝30965,平均正答率＝0.6403,,,
科目＝公共，倫理,総平均点＝64.24,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.109,12,0.6758,0.6758
1,1,2.193,3,0.7311,0.7311
1,2,1.091,3,0.3637,0.3637
1,3,2.865,3,0.9549,0.9549
1,4,1.96,3,0.6534,0.6534
2,合計,9.551,13,0.7347,0.7172
2,5,1.736,3,0.5787,0.5787
2,6,3.779,4,0.9446,0.9446
2,7,1.293,3,0.431,0.431
2,8,2.743,3,0.9144,0.9144
3,合計,17.765,28,0.6345,0.632
3,9,1.968,3,0.6562,0.6562
3,10,1.531,3,0.5104,0.5104
3,11,2.47,3,0.8233,0.8233
3,12,1.374,3,0.458,0.458
3,13,2.642,3,0.8807,0.8807
3,14,1.182,3,0.3941,0.3941
3,15,1.851,3,0.6171,0.6171
3,16,1.942,3,0.6474,0.6474
3,17,2.803,4,0.7008,0.7008
4,合計,9.774,15,0.6516,0.6516
4,18,2.181,3,0.727,0.727
4,19,0.994,3,0.3312,0.3312
4,20,1.766,3,0.5888,0.5888
4,21,2.186,3,0.7286,0.7286
4,22,2.647,3,0.8824,0.8824
5,合計,9.309,16,0.5818,0.5928
5,23,1.359,2,0.6793,0.6793
5,24,0.847,4,0.2118,0.2118
5,25,1.381,3,0.4603,0.4603
5,26,2.185,3,0.7283,0.7283
5,27,3.538,4,0.8844,0.8844
6,合計,9.736,16,0.6085,0.6013
6,28,2.087,3,0.6956,0.6956
6,29,1.519,3,0.5062,0.5062
6,30,1.648,3,0.5492,0.5492
6,31,1.616,3,0.5387,0.5387
6,32,2.866,4,0.7166,0.7166
問題区分＝本試験,人数＝143238,平均正答率＝0.6311,,,
科目＝公共，政治・経済,総平均点＝63.59,,,,
大問,解答番号,平均点,配点,得点率,正答率
1,合計,8.824,12,0.7353,0.7353
1,1,2.008,3,0.6692,0.6692
1,2,1.823,3,0.6077,0.6077
1,3,2.845,3,0.9484,0.9484
1,4,2.148,3,0.7161,0.7161
2,合計,9.489,13,0.7299,0.7123
2,5,1.219,3,0.4062,0.4062
2,6,3.764,4,0.941,0.941
2,7,1.851,3,0.6169,0.6169
2,8,2.655,3,0.8851,0.8851
3,合計,12.925,19,0.6803,0.675
3,9月10日,3.1,4,0.7751,0.7751
3,11,1.885,3,0.6284,0.6284
3,12,2.024,3,0.6747,0.6747
3,13,2.184,3,0.7281,0.7281
3,14,1.896,3,0.632,0.632
3,15,1.836,3,0.6118,0.6118
4,合計,12.141,19,0.639,0.6331
4,16,2.093,3,0.6978,0.6978
4,17,1.646,3,0.5486,0.5486
4,18,1.481,3,0.4935,0.4935
4,19,1.965,3,0.6552,0.6552
4,20,1.976,3,0.6587,0.6587
4,21-22,2.979,4,0.7448,0.7448
5,合計,9.605,18,0.5336,0.5336
5,23,0.911,3,0.3038,0.3038
5,24,1.775,3,0.5917,0.5917
5,25,1.708,3,0.5693,0.5693
5,26,2.244,3,0.748,0.748
5,27,1.792,3,0.5975,0.5975
5,28,1.174,3,0.3913,0.3913
6,合計,10.61,19,0.5584,0.5591
6,29,1.824,3,0.6081,0.6081
6,30,0.758,3,0.2525,0.2525
6,31,2.181,4,0.5453,0.5453
6,32,2.773,3,0.9243,0.9243
