令和７年度 教科別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
教科名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,,,,,,,,,
国　語,200,200,0,126.67,34.9,437209,0.6333,94,119,139,159,,,,,,,,,
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
公共，倫理,100,97,0,59.74,15.29,29042,0.5974,46,56,65,73,0～30,31～39,40～47,48～55,56～64,65～71,72～78,79～83,84～100
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
１段階,923,3.178155,,,,,,,,,,,,,,,,,,
0,11,0.04,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,2,0.01,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,,,
5,0,0,,,,,,,,,,,,,,,,,,
6,8,0.03,,,,,,,,,,,,,,,,,,
7,1,0,,,,,,,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,,,,,,,
9,5,0.02,,,,,,,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,,,,,,,
12,17,0.06,,,,,,,,,,,,,,,,,,
13,3,0.01,,,,,,,,,,,,,,,,,,
14,0,0,,,,,,,,,,,,,,,,,,
15,34,0.12,*,,,,,,,,,,,,,,,,,
16,17,0.06,,,,,,,,,,,,,,,,,,
17,0,0,,,,,,,,,,,,,,,,,,
18,47,0.16,*,,,,,,,,,,,,,,,,,
19,19,0.07,,,,,,,,,,,,,,,,,,
20,2,0.01,,,,,,,,,,,,,,,,,,
21,54,0.19,*,,,,,,,,,,,,,,,,,
22,63,0.22,*,,,,,,,,,,,,,,,,,
23,9,0.03,,,,,,,,,,,,,,,,,,
24,76,0.26,**,,,,,,,,,,,,,,,,,
25,98,0.34,**,,,,,,,,,,,,,,,,,
26,29,0.1,*,,,,,,,,,,,,,,,,,
27,101,0.35,**,,,,,,,,,,,,,,,,,
28,145,0.5,***,,,,,,,,,,,,,,,,,
29,69,0.24,*,,,,,,,,,,,,,,,,,
30,113,0.39,**,,,,,,,,,,,,,,,,,
２段階,2044,7.038082,,,,,,,,,,,,,,,,,,
31,248,0.85,*****,,,,,,,,,,,,,,,,,
32,132,0.45,***,,,,,,,,,,,,,,,,,
33,98,0.34,**,,,,,,,,,,,,,,,,,
34,281,0.97,******,,,,,,,,,,,,,,,,,
35,214,0.74,****,,,,,,,,,,,,,,,,,
36,154,0.53,***,,,,,,,,,,,,,,,,,
37,386,1.33,********,,,,,,,,,,,,,,,,,
38,360,1.24,*******,,,,,,,,,,,,,,,,,
39,171,0.59,****,,,,,,,,,,,,,,,,,
３段階,3658,12.595551,,,,,,,,,,,,,,,,,,
40,444,1.53,*********,,,,,,,,,,,,,,,,,
41,466,1.6,**********,,,,,,,,,,,,,,,,,
42,225,0.77,*****,,,,,,,,,,,,,,,,,
43,420,1.45,*********,,,,,,,,,,,,,,,,,
44,642,2.21,*************,,,,,,,,,,,,,,,,,
45,318,1.09,*******,,,,,,,,,,,,,,,,,
46,445,1.53,*********,,,,,,,,,,,,,,,,,
47,698,2.4,**************,,,,,,,,,,,,,,,,,
４段階,4397,15.140141,,,,,,,,,,,,,,,,,,
48,420,1.45,*********,,,,,,,,,,,,,,,,,
49,396,1.36,********,,,,,,,,,,,,,,,,,
50,784,2.7,****************,,,,,,,,,,,,,,,,,
51,553,1.9,***********,,,,,,,,,,,,,,,,,
52,421,1.45,*********,,,,,,,,,,,,,,,,,
53,825,2.84,*****************,,,,,,,,,,,,,,,,,
54,586,2.02,************,,,,,,,,,,,,,,,,,
55,412,1.42,*********,,,,,,,,,,,,,,,,,
５段階,5916,20.370497,,,,,,,,,,,,,,,,,,
56,760,2.62,****************,,,,,,,,,,,,,,,,,
57,716,2.47,***************,,,,,,,,,,,,,,,,,
58,422,1.45,*********,,,,,,,,,,,,,,,,,
59,752,2.59,****************,,,,,,,,,,,,,,,,,
60,815,2.81,*****************,,,,,,,,,,,,,,,,,
61,446,1.54,*********,,,,,,,,,,,,,,,,,
62,664,2.29,**************,,,,,,,,,,,,,,,,,
63,894,3.08,******************,,,,,,,,,,,,,,,,,
64,447,1.54,*********,,,,,,,,,,,,,,,,,
６段階,4660,16.045726,,,,,,,,,,,,,,,,,,
65,632,2.18,*************,,,,,,,,,,,,,,,,,
66,974,3.35,********************,,,,,,,,,,,,,,,,,
67,516,1.78,***********,,,,,,,,,,,,,,,,,
68,569,1.96,************,,,,,,,,,,,,,,,,,
69,975,3.36,********************,,,,,,,,,,,,,,,,,
70,547,1.88,***********,,,,,,,,,,,,,,,,,
71,447,1.54,*********,,,,,,,,,,,,,,,,,
７段階,4257,14.658081,,,,,,,,,,,,,,,,,,
72,1013,3.49,*********************,,,,,,,,,,,,,,,,,
73,577,1.99,************,,,,,,,,,,,,,,,,,
74,281,0.97,******,,,,,,,,,,,,,,,,,
75,843,2.9,*****************,,,,,,,,,,,,,,,,,
76,669,2.3,**************,,,,,,,,,,,,,,,,,
77,192,0.66,****,,,,,,,,,,,,,,,,,
78,682,2.35,**************,,,,,,,,,,,,,,,,,
８段階,1853,6.380414,,,,,,,,,,,,,,,,,,
79,652,2.25,*************,,,,,,,,,,,,,,,,,
80,94,0.32,**,,,,,,,,,,,,,,,,,
81,482,1.66,**********,,,,,,,,,,,,,,,,,
82,590,2.03,************,,,,,,,,,,,,,,,,,
83,35,0.12,*,,,,,,,,,,,,,,,,,
９段階,1334,4.593347,,,,,,,,,,,,,,,,,,
84,309,1.06,******,,,,,,,,,,,,,,,,,
85,420,1.45,*********,,,,,,,,,,,,,,,,,
86,6,0.02,,,,,,,,,,,,,,,,,,
87,104,0.36,**,,,,,,,,,,,,,,,,,
88,299,1.03,******,,,,,,,,,,,,,,,,,
89,0,0,,,,,,,,,,,,,,,,,,
90,36,0.12,*,,,,,,,,,,,,,,,,,
91,114,0.39,**,,,,,,,,,,,,,,,,,
92,0,0,,,,,,,,,,,,,,,,,,
93,4,0.01,,,,,,,,,,,,,,,,,,
94,33,0.11,*,,,,,,,,,,,,,,,,,
95,0,0,,,,,,,,,,,,,,,,,,
96,1,0,,,,,,,,,,,,,,,,,,
97,8,0.03,,,,,,,,,,,,,,,,,,
98,0,0,,,,,,,,,,,,,,,,,,
99,0,0,,,,,,,,,,,,,,,,,,
100,0,0,,,,,,,,,,,,,,,,,,
令和７年度 科目別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
科目名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,１段階,２段階,３段階,４段階,５段階,６段階,７段階,８段階,９段階
公共，政治・経済,100,100,0,62.66,15.84,127120,0.6266,49,59,68,76,0～32,33～41,42～50,51～59,60～68,69～75,76～81,82～87,88～100
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
１段階,4811,3.784612,,,,,,,,,,,,,,,,,,
0,22,0.02,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,9,0.01,,,,,,,,,,,,,,,,,,
4,2,0,,,,,,,,,,,,,,,,,,
5,0,0,,,,,,,,,,,,,,,,,,
6,19,0.01,,,,,,,,,,,,,,,,,,
7,2,0,,,,,,,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,,,,,,,
9,35,0.03,,,,,,,,,,,,,,,,,,
10,3,0,,,,,,,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,,,,,,,
12,68,0.05,,,,,,,,,,,,,,,,,,
13,17,0.01,,,,,,,,,,,,,,,,,,
14,0,0,,,,,,,,,,,,,,,,,,
15,149,0.12,*,,,,,,,,,,,,,,,,,
16,55,0.04,,,,,,,,,,,,,,,,,,
17,1,0,,,,,,,,,,,,,,,,,,
18,224,0.18,*,,,,,,,,,,,,,,,,,
19,110,0.09,*,,,,,,,,,,,,,,,,,
20,14,0.01,,,,,,,,,,,,,,,,,,
21,330,0.26,**,,,,,,,,,,,,,,,,,
22,180,0.14,*,,,,,,,,,,,,,,,,,
23,34,0.03,,,,,,,,,,,,,,,,,,
24,418,0.33,**,,,,,,,,,,,,,,,,,
25,335,0.26,**,,,,,,,,,,,,,,,,,
26,72,0.06,,,,,,,,,,,,,,,,,,
27,478,0.38,**,,,,,,,,,,,,,,,,,
28,509,0.4,**,,,,,,,,,,,,,,,,,
29,170,0.13,*,,,,,,,,,,,,,,,,,
30,469,0.37,**,,,,,,,,,,,,,,,,,
31,722,0.57,***,,,,,,,,,,,,,,,,,
32,364,0.29,**,,,,,,,,,,,,,,,,,
２段階,8662,6.814033,,,,,,,,,,,,,,,,,,
33,512,0.4,**,,,,,,,,,,,,,,,,,
34,1000,0.79,*****,,,,,,,,,,,,,,,,,
35,636,0.5,***,,,,,,,,,,,,,,,,,
36,561,0.44,***,,,,,,,,,,,,,,,,,
37,1244,0.98,******,,,,,,,,,,,,,,,,,
38,995,0.78,*****,,,,,,,,,,,,,,,,,
39,652,0.51,***,,,,,,,,,,,,,,,,,
40,1506,1.18,*******,,,,,,,,,,,,,,,,,
41,1556,1.22,*******,,,,,,,,,,,,,,,,,
３段階,15560,12.240402,,,,,,,,,,,,,,,,,,
42,791,0.62,****,,,,,,,,,,,,,,,,,
43,1551,1.22,*******,,,,,,,,,,,,,,,,,
44,2062,1.62,**********,,,,,,,,,,,,,,,,,
45,1101,0.87,*****,,,,,,,,,,,,,,,,,
46,1510,1.19,*******,,,,,,,,,,,,,,,,,
47,2639,2.08,************,,,,,,,,,,,,,,,,,
48,1438,1.13,*******,,,,,,,,,,,,,,,,,
49,1506,1.18,*******,,,,,,,,,,,,,,,,,
50,2962,2.33,**************,,,,,,,,,,,,,,,,,
４段階,21744,17.105097,,,,,,,,,,,,,,,,,,
51,2014,1.58,**********,,,,,,,,,,,,,,,,,
52,1312,1.03,******,,,,,,,,,,,,,,,,,
53,3184,2.5,***************,,,,,,,,,,,,,,,,,
54,2693,2.12,*************,,,,,,,,,,,,,,,,,
55,1288,1.01,******,,,,,,,,,,,,,,,,,
56,3238,2.55,***************,,,,,,,,,,,,,,,,,
57,3397,2.67,****************,,,,,,,,,,,,,,,,,
58,1403,1.1,*******,,,,,,,,,,,,,,,,,
59,3215,2.53,***************,,,,,,,,,,,,,,,,,
５段階,25381,19.966173,,,,,,,,,,,,,,,,,,
60,3961,3.12,*******************,,,,,,,,,,,,,,,,,
61,1386,1.09,*******,,,,,,,,,,,,,,,,,
62,2747,2.16,*************,,,,,,,,,,,,,,,,,
63,4613,3.63,**********************,,,,,,,,,,,,,,,,,
64,1633,1.28,********,,,,,,,,,,,,,,,,,
65,2224,1.75,**********,,,,,,,,,,,,,,,,,
66,4869,3.83,***********************,,,,,,,,,,,,,,,,,
67,2061,1.62,**********,,,,,,,,,,,,,,,,,
68,1887,1.48,*********,,,,,,,,,,,,,,,,,
６段階,21938,17.257709,,,,,,,,,,,,,,,,,,
69,4887,3.84,***********************,,,,,,,,,,,,,,,,,
70,2574,2.02,************,,,,,,,,,,,,,,,,,
71,1347,1.06,******,,,,,,,,,,,,,,,,,
72,4780,3.76,***********************,,,,,,,,,,,,,,,,,
73,3141,2.47,***************,,,,,,,,,,,,,,,,,
74,890,0.7,****,,,,,,,,,,,,,,,,,
75,4319,3.4,********************,,,,,,,,,,,,,,,,,
７段階,13972,10.991189,,,,,,,,,,,,,,,,,,
76,3517,2.77,*****************,,,,,,,,,,,,,,,,,
77,566,0.45,***,,,,,,,,,,,,,,,,,
78,3364,2.65,****************,,,,,,,,,,,,,,,,,
79,3707,2.92,*****************,,,,,,,,,,,,,,,,,
80,290,0.23,*,,,,,,,,,,,,,,,,,
81,2528,1.99,************,,,,,,,,,,,,,,,,,
８段階,9431,7.418974,,,,,,,,,,,,,,,,,,
82,3563,2.8,*****************,,,,,,,,,,,,,,,,,
83,129,0.1,*,,,,,,,,,,,,,,,,,
84,1575,1.24,*******,,,,,,,,,,,,,,,,,
85,3280,2.58,***************,,,,,,,,,,,,,,,,,
86,49,0.04,,,,,,,,,,,,,,,,,,
87,835,0.66,****,,,,,,,,,,,,,,,,,
９段階,5621,4.421806,,,,,,,,,,,,,,,,,,
88,2516,1.98,************,,,,,,,,,,,,,,,,,
89,11,0.01,,,,,,,,,,,,,,,,,,
90,365,0.29,**,,,,,,,,,,,,,,,,,
91,1531,1.2,*******,,,,,,,,,,,,,,,,,
92,0,0,,,,,,,,,,,,,,,,,,
93,109,0.09,*,,,,,,,,,,,,,,,,,
94,784,0.62,****,,,,,,,,,,,,,,,,,
95,0,0,,,,,,,,,,,,,,,,,,
96,11,0.01,,,,,,,,,,,,,,,,,,
97,253,0.2,*,,,,,,,,,,,,,,,,,
98,0,0,,,,,,,,,,,,,,,,,,
99,0,0,,,,,,,,,,,,,,,,,,
100,41,0.03,,,,,,,,,,,,,,,,,,
令和７年度 科目別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
科目名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,１段階,２段階,３段階,４段階,５段階,６段階,７段階,８段階,９段階
旧現代社会,100,100,0,64.96,16.21,3654,0.6496,51,62,70,79,0～33,34～43,44～52,53～61,62～69,70～77,78～84,85～90,91～100
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
１段階,136,3.721948,,,,,,,,,,,,,,,,,,
0,1,0.03,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,1,0.03,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,,,
5,0,0,,,,,,,,,,,,,,,,,,
6,1,0.03,,,,,,,,,,,,,,,,,,
7,0,0,,,,,,,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,,,,,,,
9,3,0.08,,,,,,,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,,,,,,,
12,2,0.05,,,,,,,,,,,,,,,,,,
13,2,0.05,,,,,,,,,,,,,,,,,,
14,0,0,,,,,,,,,,,,,,,,,,
15,4,0.11,*,,,,,,,,,,,,,,,,,
16,0,0,,,,,,,,,,,,,,,,,,
17,1,0.03,,,,,,,,,,,,,,,,,,
18,4,0.11,*,,,,,,,,,,,,,,,,,
19,2,0.05,,,,,,,,,,,,,,,,,,
20,0,0,,,,,,,,,,,,,,,,,,
21,5,0.14,*,,,,,,,,,,,,,,,,,
22,2,0.05,,,,,,,,,,,,,,,,,,
23,1,0.03,,,,,,,,,,,,,,,,,,
24,9,0.25,*,,,,,,,,,,,,,,,,,
25,8,0.22,*,,,,,,,,,,,,,,,,,
26,7,0.19,*,,,,,,,,,,,,,,,,,
27,11,0.3,**,,,,,,,,,,,,,,,,,
28,10,0.27,**,,,,,,,,,,,,,,,,,
29,6,0.16,*,,,,,,,,,,,,,,,,,
30,17,0.47,***,,,,,,,,,,,,,,,,,
31,10,0.27,**,,,,,,,,,,,,,,,,,
32,12,0.33,**,,,,,,,,,,,,,,,,,
33,17,0.47,***,,,,,,,,,,,,,,,,,
２段階,256,7.00602,,,,,,,,,,,,,,,,,,
34,18,0.49,***,,,,,,,,,,,,,,,,,
35,16,0.44,***,,,,,,,,,,,,,,,,,
36,22,0.6,****,,,,,,,,,,,,,,,,,
37,24,0.66,****,,,,,,,,,,,,,,,,,
38,22,0.6,****,,,,,,,,,,,,,,,,,
39,21,0.57,***,,,,,,,,,,,,,,,,,
40,36,0.99,******,,,,,,,,,,,,,,,,,
41,35,0.96,******,,,,,,,,,,,,,,,,,
42,27,0.74,****,,,,,,,,,,,,,,,,,
43,35,0.96,******,,,,,,,,,,,,,,,,,
３段階,404,11.056376,,,,,,,,,,,,,,,,,,
44,41,1.12,*******,,,,,,,,,,,,,,,,,
45,37,1.01,******,,,,,,,,,,,,,,,,,
46,33,0.9,*****,,,,,,,,,,,,,,,,,
47,50,1.37,********,,,,,,,,,,,,,,,,,
48,43,1.18,*******,,,,,,,,,,,,,,,,,
49,50,1.37,********,,,,,,,,,,,,,,,,,
50,50,1.37,********,,,,,,,,,,,,,,,,,
51,54,1.48,*********,,,,,,,,,,,,,,,,,
52,46,1.26,********,,,,,,,,,,,,,,,,,
４段階,639,17.487684,,,,,,,,,,,,,,,,,,
53,59,1.61,**********,,,,,,,,,,,,,,,,,
54,69,1.89,***********,,,,,,,,,,,,,,,,,
55,51,1.4,********,,,,,,,,,,,,,,,,,
56,48,1.31,********,,,,,,,,,,,,,,,,,
57,105,2.87,*****************,,,,,,,,,,,,,,,,,
58,69,1.89,***********,,,,,,,,,,,,,,,,,
59,60,1.64,**********,,,,,,,,,,,,,,,,,
60,105,2.87,*****************,,,,,,,,,,,,,,,,,
61,73,2,************,,,,,,,,,,,,,,,,,
５段階,656,17.952928,,,,,,,,,,,,,,,,,,
62,43,1.18,*******,,,,,,,,,,,,,,,,,
63,110,3.01,******************,,,,,,,,,,,,,,,,,
64,92,2.52,***************,,,,,,,,,,,,,,,,,
65,50,1.37,********,,,,,,,,,,,,,,,,,
66,110,3.01,******************,,,,,,,,,,,,,,,,,
67,119,3.26,********************,,,,,,,,,,,,,,,,,
68,26,0.71,****,,,,,,,,,,,,,,,,,
69,106,2.9,*****************,,,,,,,,,,,,,,,,,
６段階,665,18.199233,,,,,,,,,,,,,,,,,,
70,139,3.8,***********************,,,,,,,,,,,,,,,,,
71,23,0.63,****,,,,,,,,,,,,,,,,,
72,83,2.27,**************,,,,,,,,,,,,,,,,,
73,144,3.94,************************,,,,,,,,,,,,,,,,,
74,17,0.47,***,,,,,,,,,,,,,,,,,
75,86,2.35,**************,,,,,,,,,,,,,,,,,
76,161,4.41,**************************,,,,,,,,,,,,,,,,,
77,12,0.33,**,,,,,,,,,,,,,,,,,
７段階,490,13.409961,,,,,,,,,,,,,,,,,,
78,70,1.92,***********,,,,,,,,,,,,,,,,,
79,159,4.35,**************************,,,,,,,,,,,,,,,,,
80,6,0.16,*,,,,,,,,,,,,,,,,,
81,51,1.4,********,,,,,,,,,,,,,,,,,
82,151,4.13,*************************,,,,,,,,,,,,,,,,,
83,6,0.16,*,,,,,,,,,,,,,,,,,
84,47,1.29,********,,,,,,,,,,,,,,,,,
８段階,248,6.787082,,,,,,,,,,,,,,,,,,
85,97,2.65,****************,,,,,,,,,,,,,,,,,
86,0,0,,,,,,,,,,,,,,,,,,
87,27,0.74,****,,,,,,,,,,,,,,,,,
88,110,3.01,******************,,,,,,,,,,,,,,,,,
89,2,0.05,,,,,,,,,,,,,,,,,,
90,12,0.33,**,,,,,,,,,,,,,,,,,
９段階,160,4.378762,,,,,,,,,,,,,,,,,,
91,76,2.08,************,,,,,,,,,,,,,,,,,
92,0,0,,,,,,,,,,,,,,,,,,
93,4,0.11,*,,,,,,,,,,,,,,,,,
94,54,1.48,*********,,,,,,,,,,,,,,,,,
95,0,0,,,,,,,,,,,,,,,,,,
96,1,0.03,,,,,,,,,,,,,,,,,,
97,21,0.57,***,,,,,,,,,,,,,,,,,
98,0,0,,,,,,,,,,,,,,,,,,
99,0,0,,,,,,,,,,,,,,,,,,
100,4,0.11,*,,,,,,,,,,,,,,,,,
令和７年度 科目別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
科目名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,１段階,２段階,３段階,４段階,５段階,６段階,７段階,８段階,９段階
旧倫理,100,97,6,54.65,15.66,1749,0.5465,40,50,58,69,0～26,27～34,35～41,42～49,50～58,59～66,67～74,75～80,81～100
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
１段階,62,3.544882,,,,,,,,,,,,,,,,,,
0,0,0,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,0,0,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,,,
5,0,0,,,,,,,,,,,,,,,,,,
6,1,0.06,,,,,,,,,,,,,,,,,,
7,0,0,,,,,,,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,,,,,,,
9,1,0.06,,,,,,,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,,,,,,,
12,3,0.17,*,,,,,,,,,,,,,,,,,
13,0,0,,,,,,,,,,,,,,,,,,
14,0,0,,,,,,,,,,,,,,,,,,
15,2,0.11,*,,,,,,,,,,,,,,,,,
16,1,0.06,,,,,,,,,,,,,,,,,,
17,1,0.06,,,,,,,,,,,,,,,,,,
18,8,0.46,***,,,,,,,,,,,,,,,,,
19,1,0.06,,,,,,,,,,,,,,,,,,
20,2,0.11,*,,,,,,,,,,,,,,,,,
21,7,0.4,**,,,,,,,,,,,,,,,,,
22,6,0.34,**,,,,,,,,,,,,,,,,,
23,2,0.11,*,,,,,,,,,,,,,,,,,
24,8,0.46,***,,,,,,,,,,,,,,,,,
25,10,0.57,***,,,,,,,,,,,,,,,,,
26,9,0.51,***,,,,,,,,,,,,,,,,,
２段階,115,6.575185,,,,,,,,,,,,,,,,,,
27,18,1.03,******,,,,,,,,,,,,,,,,,
28,13,0.74,****,,,,,,,,,,,,,,,,,
29,14,0.8,*****,,,,,,,,,,,,,,,,,
30,15,0.86,*****,,,,,,,,,,,,,,,,,
31,9,0.51,***,,,,,,,,,,,,,,,,,
32,8,0.46,***,,,,,,,,,,,,,,,,,
33,24,1.37,********,,,,,,,,,,,,,,,,,
34,14,0.8,*****,,,,,,,,,,,,,,,,,
３段階,188,10.748999,,,,,,,,,,,,,,,,,,
35,16,0.91,*****,,,,,,,,,,,,,,,,,
36,27,1.54,*********,,,,,,,,,,,,,,,,,
37,25,1.43,*********,,,,,,,,,,,,,,,,,
38,26,1.49,*********,,,,,,,,,,,,,,,,,
39,43,2.46,***************,,,,,,,,,,,,,,,,,
40,23,1.32,********,,,,,,,,,,,,,,,,,
41,28,1.6,**********,,,,,,,,,,,,,,,,,
４段階,308,17.610062,,,,,,,,,,,,,,,,,,
42,33,1.89,***********,,,,,,,,,,,,,,,,,
43,35,2,************,,,,,,,,,,,,,,,,,
44,34,1.94,************,,,,,,,,,,,,,,,,,
45,41,2.34,**************,,,,,,,,,,,,,,,,,
46,44,2.52,***************,,,,,,,,,,,,,,,,,
47,31,1.77,***********,,,,,,,,,,,,,,,,,
48,33,1.89,***********,,,,,,,,,,,,,,,,,
49,57,3.26,********************,,,,,,,,,,,,,,,,,
５段階,362,20.697541,,,,,,,,,,,,,,,,,,
50,27,1.54,*********,,,,,,,,,,,,,,,,,
51,47,2.69,****************,,,,,,,,,,,,,,,,,
52,51,2.92,*****************,,,,,,,,,,,,,,,,,
53,34,1.94,************,,,,,,,,,,,,,,,,,
54,29,1.66,**********,,,,,,,,,,,,,,,,,
55,69,3.95,************************,,,,,,,,,,,,,,,,,
56,32,1.83,***********,,,,,,,,,,,,,,,,,
57,29,1.66,**********,,,,,,,,,,,,,,,,,
58,44,2.52,***************,,,,,,,,,,,,,,,,,
６段階,284,16.23785,,,,,,,,,,,,,,,,,,
59,33,1.89,***********,,,,,,,,,,,,,,,,,
60,29,1.66,**********,,,,,,,,,,,,,,,,,
61,53,3.03,******************,,,,,,,,,,,,,,,,,
62,31,1.77,***********,,,,,,,,,,,,,,,,,
63,31,1.77,***********,,,,,,,,,,,,,,,,,
64,42,2.4,**************,,,,,,,,,,,,,,,,,
65,33,1.89,***********,,,,,,,,,,,,,,,,,
66,32,1.83,***********,,,,,,,,,,,,,,,,,
７段階,234,13.379073,,,,,,,,,,,,,,,,,,
67,45,2.57,***************,,,,,,,,,,,,,,,,,
68,22,1.26,********,,,,,,,,,,,,,,,,,
69,20,1.14,*******,,,,,,,,,,,,,,,,,
70,56,3.2,*******************,,,,,,,,,,,,,,,,,
71,19,1.09,*******,,,,,,,,,,,,,,,,,
72,17,0.97,******,,,,,,,,,,,,,,,,,
73,41,2.34,**************,,,,,,,,,,,,,,,,,
74,14,0.8,*****,,,,,,,,,,,,,,,,,
８段階,125,7.146941,,,,,,,,,,,,,,,,,,
75,13,0.74,****,,,,,,,,,,,,,,,,,
76,30,1.72,**********,,,,,,,,,,,,,,,,,
77,20,1.14,*******,,,,,,,,,,,,,,,,,
78,11,0.63,****,,,,,,,,,,,,,,,,,
79,33,1.89,***********,,,,,,,,,,,,,,,,,
80,18,1.03,******,,,,,,,,,,,,,,,,,
９段階,71,4.059462,,,,,,,,,,,,,,,,,,
81,3,0.17,*,,,,,,,,,,,,,,,,,
82,24,1.37,********,,,,,,,,,,,,,,,,,
83,4,0.23,*,,,,,,,,,,,,,,,,,
84,7,0.4,**,,,,,,,,,,,,,,,,,
85,8,0.46,***,,,,,,,,,,,,,,,,,
86,2,0.11,*,,,,,,,,,,,,,,,,,
87,2,0.11,*,,,,,,,,,,,,,,,,,
88,6,0.34,**,,,,,,,,,,,,,,,,,
89,2,0.11,*,,,,,,,,,,,,,,,,,
90,0,0,,,,,,,,,,,,,,,,,,
91,6,0.34,**,,,,,,,,,,,,,,,,,
92,0,0,,,,,,,,,,,,,,,,,,
93,1,0.06,,,,,,,,,,,,,,,,,,
94,4,0.23,*,,,,,,,,,,,,,,,,,
95,0,0,,,,,,,,,,,,,,,,,,
96,0,0,,,,,,,,,,,,,,,,,,
97,2,0.11,*,,,,,,,,,,,,,,,,,
98,0,0,,,,,,,,,,,,,,,,,,
99,0,0,,,,,,,,,,,,,,,,,,
100,0,0,,,,,,,,,,,,,,,,,,
令和７年度 科目別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
科目名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,１段階,２段階,３段階,４段階,５段階,６段階,７段階,８段階,９段階
旧政治・経済,100,100,0,59.84,16.53,1944,0.5984,45,55,64,74,0～29,30～37,38～46,47～55,56～64,65～72,73～79,80～86,87～100
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
１段階,71,3.652263,,,,,,,,,,,,,,,,,,
0,1,0.05,,,,,,,,,,,,,,,,,,
1,0,0,,,,,,,,,,,,,,,,,,
2,0,0,,,,,,,,,,,,,,,,,,
3,1,0.05,,,,,,,,,,,,,,,,,,
4,0,0,,,,,,,,,,,,,,,,,,
5,0,0,,,,,,,,,,,,,,,,,,
6,0,0,,,,,,,,,,,,,,,,,,
7,0,0,,,,,,,,,,,,,,,,,,
8,0,0,,,,,,,,,,,,,,,,,,
9,0,0,,,,,,,,,,,,,,,,,,
10,0,0,,,,,,,,,,,,,,,,,,
11,0,0,,,,,,,,,,,,,,,,,,
12,0,0,,,,,,,,,,,,,,,,,,
13,1,0.05,,,,,,,,,,,,,,,,,,
14,2,0.1,*,,,,,,,,,,,,,,,,,
15,1,0.05,,,,,,,,,,,,,,,,,,
16,6,0.31,**,,,,,,,,,,,,,,,,,
17,2,0.1,*,,,,,,,,,,,,,,,,,
18,0,0,,,,,,,,,,,,,,,,,,
19,3,0.15,*,,,,,,,,,,,,,,,,,
20,3,0.15,*,,,,,,,,,,,,,,,,,
21,1,0.05,,,,,,,,,,,,,,,,,,
22,4,0.21,*,,,,,,,,,,,,,,,,,
23,1,0.05,,,,,,,,,,,,,,,,,,
24,4,0.21,*,,,,,,,,,,,,,,,,,
25,5,0.26,**,,,,,,,,,,,,,,,,,
26,13,0.67,****,,,,,,,,,,,,,,,,,
27,5,0.26,**,,,,,,,,,,,,,,,,,
