令和７年度 教科別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
教科名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,,,,,,,,,
国　語,200,200,0,126.67,34.9,437209,0.6333,94,119,139,159,,,,,,,,,
点数,人数,比率（％）,,,,,,,,,,,,,,,,,,
111,3696,0.85,*****,,,,,,,,,,,,,,,,,
112,3745,0.86,*****,,,,,,,,,,,,,,,,,
113,3776,0.86,*****,,,,,,,,,,,,,,,,,
114,3780,0.86,*****,,,,,,,,,,,,,,,,,
115,3811,0.87,*****,,,,,,,,,,,,,,,,,
116,3864,0.88,*****,,,,,,,,,,,,,,,,,
117,3817,0.87,*****,,,,,,,,,,,,,,,,,
118,3895,0.89,*****,,,,,,,,,,,,,,,,,
119,3945,0.9,*****,,,,,,,,,,,,,,,,,
120,4100,0.94,******,,,,,,,,,,,,,,,,,
121,4036,0.92,******,,,,,,,,,,,,,,,,,
122,4128,0.94,******,,,,,,,,,,,,,,,,,
123,4173,0.95,******,,,,,,,,,,,,,,,,,
124,4040,0.92,******,,,,,,,,,,,,,,,,,
125,4126,0.94,******,,,,,,,,,,,,,,,,,
126,4212,0.96,******,,,,,,,,,,,,,,,,,
127,4357,1,******,,,,,,,,,,,,,,,,,
128,4286,0.98,******,,,,,,,,,,,,,,,,,
129,4285,0.98,******,,,,,,,,,,,,,,,,,
130,4237,0.97,******,,,,,,,,,,,,,,,,,
131,4267,0.98,******,,,,,,,,,,,,,,,,,
132,4377,1,******,,,,,,,,,,,,,,,,,
133,4456,1.02,******,,,,,,,,,,,,,,,,,
134,4356,1,******,,,,,,,,,,,,,,,,,
135,4299,0.98,******,,,,,,,,,,,,,,,,,
136,4373,1,******,,,,,,,,,,,,,,,,,
137,4293,0.98,******,,,,,,,,,,,,,,,,,
138,4422,1.01,******,,,,,,,,,,,,,,,,,
139,4461,1.02,******,,,,,,,,,,,,,,,,,
140,4466,1.02,******,,,,,,,,,,,,,,,,,
141,4412,1.01,******,,,,,,,,,,,,,,,,,
142,4487,1.03,******,,,,,,,,,,,,,,,,,
143,4450,1.02,******,,,,,,,,,,,,,,,,,
144,4524,1.03,******,,,,,,,,,,,,,,,,,
145,4499,1.03,******,,,,,,,,,,,,,,,,,
146,4605,1.05,******,,,,,,,,,,,,,,,,,
147,4425,1.01,******,,,,,,,,,,,,,,,,,
148,4470,1.02,******,,,,,,,,,,,,,,,,,
149,4477,1.02,******,,,,,,,,,,,,,,,,,
150,4525,1.03,******,,,,,,,,,,,,,,,,,
151,4506,1.03,******,,,,,,,,,,,,,,,,,
152,4479,1.02,******,,,,,,,,,,,,,,,,,
153,4479,1.02,******,,,,,,,,,,,,,,,,,
154,4553,1.04,******,,,,,,,,,,,,,,,,,
155,4401,1.01,******,,,,,,,,,,,,,,,,,
156,4416,1.01,******,,,,,,,,,,,,,,,,,
157,4387,1,******,,,,,,,,,,,,,,,,,
158,4380,1,******,,,,,,,,,,,,,,,,,
159,4305,0.98,******,,,,,,,,,,,,,,,,,
160,4365,1,******,,,,,,,,,,,,,,,,,
161,4146,0.95,******,,,,,,,,,,,,,,,,,
162,4064,0.93,******,,,,,,,,,,,,,,,,,
163,4164,0.95,******,,,,,,,,,,,,,,,,,
164,4001,0.92,*****,,,,,,,,,,,,,,,,,
165,4094,0.94,******,,,,,,,,,,,,,,,,,
166,3925,0.9,*****,,,,,,,,,,,,,,,,,
167,3863,0.88,*****,,,,,,,,,,,,,,,,,
168,3640,0.83,*****,,,,,,,,,,,,,,,,,
169,3574,0.82,*****,,,,,,,,,,,,,,,,,
170,3462,0.79,*****,,,,,,,,,,,,,,,,,
171,3375,0.77,*****,,,,,,,,,,,,,,,,,
172,3326,0.76,*****,,,,,,,,,,,,,,,,,
173,3137,0.72,****,,,,,,,,,,,,,,,,,
174,3080,0.7,****,,,,,,,,,,,,,,,,,
175,3070,0.7,****,,,,,,,,,,,,,,,,,
176,2557,0.58,****,,,,,,,,,,,,,,,,,
177,2560,0.59,****,,,,,,,,,,,,,,,,,
178,2499,0.57,***,,,,,,,,,,,,,,,,,
179,2451,0.56,***,,,,,,,,,,,,,,,,,
180,2318,0.53,***,,,,,,,,,,,,,,,,,
181,1855,0.42,***,,,,,,,,,,,,,,,,,
182,1902,0.44,***,,,,,,,,,,,,,,,,,
183,1281,0.29,**,,,,,,,,,,,,,,,,,
184,1473,0.34,**,,,,,,,,,,,,,,,,,
185,1642,0.38,**,,,,,,,,,,,,,,,,,
186,1170,0.27,**,,,,,,,,,,,,,,,,,
187,1413,0.32,**,,,,,,,,,,,,,,,,,
188,759,0.17,*,,,,,,,,,,,,,,,,,
189,833,0.19,*,,,,,,,,,,,,,,,,,
190,421,0.1,*,,,,,,,,,,,,,,,,,
191,551,0.13,*,,,,,,,,,,,,,,,,,
192,693,0.16,*,,,,,,,,,,,,,,,,,
193,310,0.07,,,,,,,,,,,,,,,,,,
194,556,0.13,*,,,,,,,,,,,,,,,,,
195,193,0.04,,,,,,,,,,,,,,,,,,
196,30,0.01,,,,,,,,,,,,,,,,,,
197,99,0.02,,,,,,,,,,,,,,,,,,
198,143,0.03,,,,,,,,,,,,,,,,,,
199,0,0,,,,,,,,,,,,,,,,,,
200,144,0.03,,,,,,,,,,,,,,,,,,
令和７年度 科目別成績分布図（本試験）,,,,,,,,,,,,,,,,,,,,
科目名,満点,最高点,最低点,平均点,標準偏差,受験者数,得点率,５分値Ｆ１,５分値Ｆ２,５分値Ｆ３,５分値Ｆ４,１段階,２段階,３段階,４段階,５段階,６段階,７段階,８段階,９段階
